# phrase|conversation podstawy
zovem se|nazywam się|Zovem se Marko.|Nazywam się Marko.
obuvati|wkładać buty|Obuvam čizme.|Wkładam kozaki.
izuti|zdjąć buty|Izuj cipele.|Zdejmij buty.
izuvati|zdejmować buty|Izuvam mokre cipele.|Zdejmuję mokre buty.
presvući se|przebrać się|Moram se presvući.|Muszę się przebrać.
presvlačiti se|przebierać się|Presvlačim se nakon posla.|Przebieram się po pracy.
zakopčati|zapiąć|Zakopčaj jaknu.|Zapnij kurtkę.
zakopčavati|zapinać|Zakopčavam gumbe.|Zapinam guziki.
otkopčati|rozpiąć|Otkopčaj kaput.|Rozepnij płaszcz.
otkopčavati|rozpinać|Otkopčavam košulju.|Rozpinam koszulę.
zavezati|zawiązać|Zaveži vezice.|Zawiąż sznurówki.
odvezati|rozwiązać węzeł|Ne mogu odvezati čvor.|Nie mogę rozwiązać węzła.
objesiti|powiesić|Objesi kaput ovdje.|Powieś płaszcz tutaj.
vješati|wieszać|Vješam rublje.|Wieszam pranie.
složiti|ułożyć, złożyć|Složi odjeću.|Złóż ubrania.
slagati odjeću|układać ubrania|Volim slagati odjeću.|Lubię układać ubrania.
pomesti|zamieść|Treba pomesti pod.|Trzeba zamieść podłogę.
mesti|zamiatać|Metem kuhinju.|Zamiatam kuchnię.
obrisati prašinu|zetrzeć kurz|Moram obrisati prašinu.|Muszę zetrzeć kurz.
oprati pod|umyć podłogę|Treba oprati pod.|Trzeba umyć podłogę.
usisati|odkurzyć|Moram usisati tepih.|Muszę odkurzyć dywan.
pospremati|sprzątać|Pospremam sobu.|Sprzątam pokój.
raspremiti|uprzątnąć|Raspremi stol nakon jela.|Uprzątnij stół po jedzeniu.
raspremati|uprzątać|Raspremamo stol.|Uprzątamy stół.
provjetriti|przewietrzyć|Treba provjetriti sobu.|Trzeba przewietrzyć pokój.
provjetravati|wietrzyć|Svaki dan provjetravam stan.|Codziennie wietrzę mieszkanie.
ribati|szorować|Moram ribati kadu.|Muszę szorować wannę.
istrljati|wytrzeć przez pocieranie|Istrljaj se ručnikom.|Wytrzyj się ręcznikiem.
trljati|pocierać|Nemoj trljati oči.|Nie pocieraj oczu.
polirati|polerować|Poliram srebro.|Poleruję srebro.
iznijeti smeće|wynieść śmieci|Moram iznijeti smeće.|Muszę wynieść śmieci.
razvrstati|posegregować|Razvrstaj otpad.|Posegreguj odpady.
razvrstavati|segregować|Razvrstavamo otpad.|Segregujemy odpady.
zaliti|podlać|Zalij cvijeće.|Podlej kwiaty.
presaditi|przesadzić roślinę|Treba presaditi biljku.|Trzeba przesadzić roślinę.
isključivati|wyłączać|Uvijek isključujem računalo.|Zawsze wyłączam komputer.
uključivati|włączać|Uključujem svjetlo.|Włączam światło.
upaliti|zapalić, uruchomić|Upali svjetlo.|Zapal światło.
paliti|zapalać|Palim svijeću.|Zapalam świecę.
ugasiti|zgasić|Ugasi svjetlo.|Zgaś światło.
gasiti|gasić|Gasim svijeće.|Gaszę świece.
pokrenuti|uruchomić|Pokreni program.|Uruchom program.
pokretati|uruchamiać|Pokrećem računalo.|Uruchamiam komputer.
napuniti|napełnić, naładować|Napunite bocu vodom.|Napełnijcie butelkę wodą.
isprazniti|opróżnić|Isprazni koš.|Opróżnij kosz.
prazniti|opróżniać|Praznim perilicu.|Opróżniam pralkę.
odčepiti|odetkać|Treba odčepiti odvod.|Trzeba odetkać odpływ.
začepiti|zatkać|Nemoj začepiti odvod.|Nie zatkaj odpływu.
curiti|przeciekać|Cijev curi.|Rura przecieka.
procuriti|zacząć przeciekać|Krov je procurio.|Dach zaczął przeciekać.
kapnuti|skapnąć|Voda je kapnula na pod.|Woda skapnęła na podłogę.
proliti|rozlać|Pazi da ne proliješ vodu.|Uważaj, żeby nie rozlać wody.
prolijevati|rozlewać|Dijete prolijeva sok.|Dziecko rozlewa sok.
prosuti|rozsypać|Nemoj prosuti brašno.|Nie rozsyp mąki.
prosipati|rozsypywać|Netko prosipa šećer.|Ktoś rozsypuje cukier.
zalijepiti|przykleić|Zalijepi marku.|Przyklej znaczek.
lijepiti|kleić|Lijepim papir.|Kleję papier.
odlijepiti|odkleić|Odlijepi naljepnicu.|Odklej naklejkę.
pričvrstiti|przymocować|Treba pričvrstiti policu.|Trzeba przymocować półkę.
zategnuti|dokręcić, napiąć|Zategni vijak.|Dokręć śrubę.
otpustiti vijak|poluzować śrubę|Treba otpustiti vijak.|Trzeba poluzować śrubę.
odvrnuti|odkręcić|Odvrni poklopac.|Odkręć pokrywkę.
zavrnuti|zakręcić|Zavrni slavinu.|Zakręć kran.
izbušiti|wywiercić|Treba izbušiti rupu.|Trzeba wywiercić otwór.
zabiti|wbić|Zabij čavao.|Wbij gwóźdź.
izvaditi|wyjąć|Izvadi ključ.|Wyjmij klucz.
vaditi|wyjmować|Vadim knjige iz torbe.|Wyjmuję książki z torby.
umetnuti|włożyć, wsunąć|Umetni karticu.|Włóż kartę.
umetati|wkładać, wsuwać|Umećem papir u pisač.|Wkładam papier do drukarki.
# verb|food
skuhati|ugotować|Želim skuhati juhu.|Chcę ugotować zupę.
ispeći|upiec|Moram ispeći kruh.|Muszę upiec chleb.
ispržiti|usmażyć|Treba ispržiti ribu.|Trzeba usmażyć rybę.
pirjati|dusić potrawę|Pirjaj luk na ulju.|Duś cebulę na oleju.
prokuhati|przegotować|Treba prokuhati vodu.|Trzeba przegotować wodę.
zakuhati|doprowadzić do wrzenia|Zakuhaj vodu.|Doprowadź wodę do wrzenia.
kuhati na pari|gotować na parze|Volim kuhati na pari.|Lubię gotować na parze.
podgrijati|podgrzać|Podgrij juhu.|Podgrzej zupę.
podgrijavati|podgrzewać|Podgrijavam ručak.|Podgrzewam obiad.
ohladiti|schłodzić|Treba ohladiti piće.|Trzeba schłodzić napój.
hladiti|chłodzić|Hladim čaj.|Chłodzę herbatę.
zamrznuti|zamrozić|Možemo zamrznuti juhu.|Możemy zamrozić zupę.
zamrzavati|zamrażać|Zamrzavam povrće.|Zamrażam warzywa.
odmrznuti|rozmrozić|Treba odmrznuti meso.|Trzeba rozmrozić mięso.
odmrzavati|rozmrażać|Odmrzavam ribu.|Rozmrażam rybę.
guliti|obierać|Gulim krumpir.|Obieram ziemniaki.
oguliti|obrać|Oguli jabuku.|Obierz jabłko.
narezati|pokroić|Nareži kruh.|Pokrój chleb.
naribati|zetrzeć na tarce|Naribaj sir.|Zetrzyj ser.
ribati sir|trzeć ser|Moram ribati sir.|Muszę trzeć ser.
sjeckati|siekać|Sjeckam luk.|Siekam cebulę.
nasjeckati|posiekać|Nasjeckaj peršin.|Posiekaj pietruszkę.
promiješati|zamieszać|Promiješaj juhu.|Zamieszaj zupę.
umijesiti|zagnieść ciasto|Treba umijesiti tijesto.|Trzeba zagnieść ciasto.
mijesiti|zagniatać ciasto|Mijesim tijesto.|Zagniatam ciasto.
razvaljati|rozwałkować|Razvaljaj tijesto.|Rozwałkuj ciasto.
razvaljavati|wałkować|Razvaljavam tijesto.|Wałkuję ciasto.
umutiti|roztrzepać|Umuti jaja.|Roztrzep jajka.
mutiti|trzepać, mieszać|Mutim jaja vilicom.|Trzepię jajka widelcem.
istući|ubić|Istuci bjelanjke.|Ubij białka.
posoliti|posolić|Posoli juhu.|Posól zupę.
soliti|solić|Nemoj previše soliti.|Nie sól za dużo.
popapriti|popieprzyć|Popapri meso.|Popieprz mięso.
začiniti|doprawić|Začini salatu.|Dopraw sałatkę.
začinjavati|doprawiać|Začinjavam juhu.|Doprawiam zupę.
zasladiti|posłodzić|Želim zasladiti čaj.|Chcę posłodzić herbatę.
cijediti|wyciskać sok|Cijedim naranče.|Wyciskam pomarańcze.
iscijediti|wycisnąć|Iscijedi limun.|Wyciśnij cytrynę.
ocijediti|odcedzić|Ocijedi tjesteninu.|Odcedź makaron.
procijediti|przecedzić|Procijedi juhu.|Przecedź zupę.
preliti|polać|Prelij kolač čokoladom.|Polej ciasto czekoladą.
uliti|wlać|Ulij mlijeko u lonac.|Wlej mleko do garnka.
naliti|nalać|Nalij vodu u čašu.|Nalej wodę do szklanki.
točiti|nalewać napój|Točim vino.|Nalewam wino.
natočiti|nalać napój|Natoči sok.|Nalej soku.
doliti|dolać|Dolij malo vode.|Dolej trochę wody.
posuti|posypać|Pospi kolač šećerom.|Posyp ciasto cukrem.
premazati|posmarować powierzchnię|Premaži kruh maslacem.|Posmaruj chleb masłem.
puniti paprike|faszerować paprykę|Danas ćemo puniti paprike.|Dzisiaj będziemy faszerować paprykę.
marinirati|marynować|Mariniramo meso.|Marynujemy mięso.
pohati|panierować i smażyć|Volim pohati tikvice.|Lubię panierować i smażyć cukinię.
karamelizirati|karmelizować|Karameliziraj šećer.|Skarmelizuj cukier.
kušati jelo|spróbować potrawy|Želim kušati ovo jelo.|Chcę spróbować tej potrawy.
prepeći|przypiec za mocno|Nemoj prepeći meso.|Nie przypiecz mięsa za mocno.
zagorjeti|przypalić się|Ručak je zagorio.|Obiad się przypalił.
kipjeti|wrzeć|Voda kipi.|Woda wrze.
prekipjeti|wykipieć|Mlijeko je prekipjelo.|Mleko wykipiało.
žvakati|żuć|Polako žvači.|Żuj powoli.
gutati|połykać|Teško gutam.|Mam trudności z połykaniem.
progutati|połknąć|Progutaj tabletu.|Połknij tabletkę.
zagristi|ugryźć|Zagrizi jabuku.|Ugryź jabłko.
gristi|gryźć|Pas voli gristi igračke.|Pies lubi gryźć zabawki.
polizati|polizać|Pas mi je polizao ruku.|Pies polizał mi rękę.
lizati|lizać|Dijete liže sladoled.|Dziecko liże lody.
hrskati|chrupać|Volim hrskati mrkvu.|Lubię chrupać marchewkę.
najesti se|najeść się|Želim se dobro najesti.|Chcę się dobrze najeść.
napiti se vode|napić się wody|Moram se napiti vode.|Muszę się napić wody.
ogladnjeti|zgłodnieć|Brzo ću ogladnjeti.|Szybko zgłodnieję.
ožednjeti|poczuć pragnienie|Ožednio sam od trčanja.|Zachciało mi się pić od biegania.
# verb|conversation
zvati se|nazywać się|Kako se zoveš?|Jak się nazywasz?
predstaviti se|przedstawić się|Želim se predstaviti.|Chcę się przedstawić.
predstavljati se|przedstawiać się|Predstavljamo se novim kolegama.|Przedstawiamy się nowym kolegom.
upoznati se|poznać się|Želim se upoznati s tobom.|Chcę cię poznać.
pozdravljati|pozdrawiać|Pozdravljam susjede.|Pozdrawiam sąsiadów.
pozdraviti se|przywitać się, pożegnać się|Moramo se pozdraviti prije odlaska.|Musimy się pożegnać przed wyjazdem.
pozdravljati se|witać się, żegnać się|Pozdravljamo se na ulici.|Witamy się na ulicy.
rukovati se|podawać sobie ręce|Rukujemo se pri susretu.|Podajemy sobie ręce przy spotkaniu.
mahnuti|machnąć|Mahni baki.|Pomachaj babci.
mahati|machać|Djeca mašu s prozora.|Dzieci machają z okna.
zagrliti|przytulić|Želim te zagrliti.|Chcę cię przytulić.
grliti|przytulać|Majka grli dijete.|Matka przytula dziecko.
poljubiti|pocałować|Smijem li te poljubiti?|Czy mogę cię pocałować?
ljubiti|całować|Ljubi dijete u čelo.|Całuje dziecko w czoło.
nasmiješiti se|uśmiechnąć się|Nasmiješila se susjedu.|Uśmiechnęła się do sąsiada.
smiješiti se|uśmiechać się|Beba se smiješi.|Niemowlę się uśmiecha.
nasmijati se|roześmiać się|Svi su se nasmijali.|Wszyscy się roześmiali.
rasplakati se|rozpłakać się|Dijete se rasplakalo.|Dziecko się rozpłakało.
naljutiti se|rozgniewać się|Nemoj se naljutiti.|Nie gniewaj się.
smiriti se|uspokoić się|Pokušaj se smiriti.|Spróbuj się uspokoić.
smirivati se|uspokajać się|Dijete se polako smiruje.|Dziecko powoli się uspokaja.
utješiti|pocieszyć|Želim te utješiti.|Chcę cię pocieszyć.
tješiti|pocieszać|Tješim prijatelja.|Pocieszam przyjaciela.
ohrabriti|dodać otuchy|Pokušaj ga ohrabriti.|Spróbuj dodać mu otuchy.
ohrabrivati|dodawać otuchy|Učitelj ohrabruje učenike.|Nauczyciel dodaje uczniom otuchy.
razveseliti|ucieszyć kogoś|Želim razveseliti mamu.|Chcę ucieszyć mamę.
iznenaditi|zaskoczyć|Želim te iznenaditi.|Chcę cię zaskoczyć.
iznenađivati|zaskakiwać|Uvijek me iznenađuješ.|Zawsze mnie zaskakujesz.
zadirkivati|droczyć się|Nemoj zadirkivati brata.|Nie drocz się z bratem.
zezati|żartować z kogoś|Samo te zezam.|Tylko sobie z ciebie żartuję.
gnjaviti|zawracać głowę|Ne želim te gnjaviti.|Nie chcę ci zawracać głowy.
dosađivati|naprzykrzać się|Nemoj dosađivati gostima.|Nie naprzykrzaj się gościom.
smetati|przeszkadzać|Oprosti ako smetam.|Przepraszam, jeśli przeszkadzam.
ometati|zakłócać|Nemoj ometati nastavu.|Nie zakłócaj lekcji.
prekinuti|przerwać|Nemoj me prekinuti.|Nie przerywaj mi.
doviknuti|zawołać do kogoś|Doviknuo mi je s balkona.|Zawołał do mnie z balkonu.
šaptati|szeptać|Zašto šapćeš?|Dlaczego szepczesz?
prošaptati|wyszeptać|Prošaptala je moje ime.|Wyszeptała moje imię.
šapnuti|szepnąć|Šapni mi odgovor.|Szepnij mi odpowiedź.
mumljati|mamrotać|Nemoj mumljati.|Nie mamrocz.
mrmljati|mruczeć pod nosem|Nešto mrmlja sebi u bradu.|Mruczy coś pod nosem.
uzdahnuti|westchnąć|Duboko je uzdahnula.|Głęboko westchnęła.
uzdisati|wzdychać|Zašto uzdišeš?|Dlaczego wzdychasz?
kimnuti|skinąć głową|Kimnuo je u znak pozdrava.|Skinął głową na powitanie.
klimati glavom|kiwać głową|Sluša i klima glavom.|Słucha i kiwa głową.
odmahnuti glavom|pokręcić głową przecząco|Odmahnula je glavom.|Pokręciła przecząco głową.
slegnuti ramenima|wzruszyć ramionami|Samo je slegnuo ramenima.|Tylko wzruszył ramionami.
obećavati|obiecywać|Nemoj obećavati previše.|Nie obiecuj za dużo.
zamoliti|poprosić|Mogu li te nešto zamoliti?|Czy mogę cię o coś poprosić?
upitati|zapytać|Želim te nešto upitati.|Chcę cię o coś zapytać.
odgovarati na pitanje|odpowiadać na pytanie|Učenik odgovara na pitanje.|Uczeń odpowiada na pytanie.
prepričati|opowiedzieć własnymi słowami|Prepričaj mi film.|Opowiedz mi film własnymi słowami.
prepričavati|opowiadać własnymi słowami|Prepričavam sadržaj knjige.|Opowiadam własnymi słowami treść książki.
popričati|porozmawiać chwilę|Možemo li popričati?|Czy możemy chwilę porozmawiać?
porazgovarati|porozmawiać|Želim porazgovarati s tobom.|Chcę z tobą porozmawiać.
razgovarati telefonom|rozmawiać przez telefon|Ne mogu sada razgovarati telefonom.|Nie mogę teraz rozmawiać przez telefon.
raspitati se|zasięgnąć informacji|Moram se raspitati o tečaju.|Muszę zasięgnąć informacji o kursie.
raspitivati se|dopytywać się|Raspitujem se o poslu.|Dopytuję się o pracę.
raspraviti|przedyskutować|Moramo raspraviti taj problem.|Musimy przedyskutować ten problem.
objašnjavati|wyjaśniać|Učitelj objašnjava pravilo.|Nauczyciel wyjaśnia regułę.
priznati|przyznać|Moram priznati pogrešku.|Muszę przyznać się do błędu.
uvjeravati|przekonywać|Nemoj me uvjeravati.|Nie przekonuj mnie.
nagovoriti|namówić|Pokušaj ga nagovoriti.|Spróbuj go namówić.
nagovarati|namawiać|Nagovaram ga na putovanje.|Namawiam go na podróż.
odgovoriti od|odwieść od|Želim ga odgovoriti od te ideje.|Chcę go odwieść od tego pomysłu.
povjeriti se|zwierzyć się|Možeš mi se povjeriti.|Możesz mi się zwierzyć.
povjeravati se|zwierzać się|Često se povjeravam sestri.|Często zwierzam się siostrze.
otkriti tajnu|zdradzić tajemnicę|Nemoj otkriti tajnu.|Nie zdradź tajemnicy.
sažeti|streścić|Možeš li sažeti tekst?|Czy możesz streścić tekst?
sažimati|streszczać|Sažimam glavne ideje.|Streszczam główne myśli.
# verb|daily
promašiti|chybić, nie trafić|Promašio sam cilj.|Nie trafiłem w cel.
iznajmiti|wynająć komuś|Želim iznajmiti svoj stan.|Chcę wynająć komuś swoje mieszkanie.
useliti se|wprowadzić się|Uselili smo se u novi stan.|Wprowadziliśmy się do nowego mieszkania.
drijemati|drzemać|Djed drijema u naslonjaču.|Dziadek drzemie w fotelu.
zadrijemati|zdrzemnąć się|Želim malo zadrijemati.|Chcę się trochę zdrzemnąć.
zijevati|ziewać|Zijevam jer sam umoran.|Ziewam, bo jestem zmęczony.
treptati|mrugać|Često trepćeš.|Często mrugasz.
# adjective|daily
mlak|letni, niezbyt ciepły|Čaj je mlak.|Herbata jest letnia.
vreo|wrzący, bardzo gorący|Čaj je vreo.|Herbata jest bardzo gorąca.
leden|lodowaty|Vjetar je leden.|Wiatr jest lodowaty.
užegao|zjełczały|Maslac je užegao.|Masło jest zjełczałe.
sirov|surowy|Krumpir je još sirov.|Ziemniak jest jeszcze surowy.
kuhan|gotowany|Krumpir je kuhan.|Ziemniak jest ugotowany.
pečen|pieczony|Kruh je pečen.|Chleb jest upieczony.
pržen|smażony|Krumpir je pržen.|Ziemniak jest smażony.
pohan|panierowany i smażony|Sir je pohan.|Ser jest panierowany i smażony.
neslan|niesłony|Kruh je neslan.|Chleb jest niesłony.
preslan|zbyt słony|Umak je preslan.|Sos jest zbyt słony.
presladak|zbyt słodki|Sok je presladak.|Sok jest zbyt słodki.
hrskav|chrupiący|Kruh je hrskav.|Chleb jest chrupiący.
sočan|soczysty|Plod je sočan.|Owoc jest soczysty.
zreo|dojrzały|Paradajz je zreo.|Pomidor jest dojrzały.
nezreo|niedojrzały|Plod je nezreo.|Owoc jest niedojrzały.
truo|zgniły|Krumpir je truo.|Ziemniak jest zgniły.
jestiv|jadalny|Ovaj cvijet je jestiv.|Ten kwiat jest jadalny.
nejestiv|niejadalny|Ovaj plod je nejestiv.|Ten owoc jest niejadalny.
otrovan|trujący|Bršljan je otrovan.|Bluszcz jest trujący.
bezalkoholan|bezalkoholowy|Koktel je bezalkoholan.|Koktajl jest bezalkoholowy.
gaziran|gazowany|Sok je gaziran.|Napój jest gazowany.
negaziran|niegazowany|Ovaj napitak je negaziran.|Ten napój jest niegazowany.
punomasan|pełnotłusty|Sir je punomasan.|Ser jest pełnotłusty.
obrani|odtłuszczony|Kupujem obrano mlijeko.|Kupuję odtłuszczone mleko.
masan|tłusty|Umak je masan.|Sos jest tłusty.
nemasni|chudy, niskotłuszczowy|Kupujem nemasni sir.|Kupuję chudy ser.
beskvasni|przaśny, bez drożdży|Jedemo beskvasni kruh.|Jemy chleb bez drożdży.
cjelovit|pełny, całościowy|Treba nam cjelovit plan.|Potrzebujemy całościowego planu.
integralni|pełnoziarnisty|Kupujem integralni kruh.|Kupuję chleb pełnoziarnisty.
# adjective|home
prašnjav|zakurzony|Stol je prašnjav.|Stół jest zakurzony.
blatnjav|zabłocony|Put je blatnjav.|Droga jest zabłocona.
sklizak|śliski|Pod je sklizak.|Podłoga jest śliska.
ljepljiv|lepki|Stol je ljepljiv.|Stół jest lepki.
mirišljav|pachnący|Sapun je mirišljav.|Mydło jest pachnące.
smrdljiv|śmierdzący|Otpad je smrdljiv.|Odpad jest śmierdzący.
zagušljiv|duszny|Zrak je zagušljiv.|Powietrze jest duszne.
prozračan|przewiewny|Stan je prozračan.|Mieszkanie jest przewiewne.
osunčan|nasłoneczniony|Balkon je osunčan.|Balkon jest nasłoneczniony.
sjenovit|zacieniony|Vrt je sjenovit.|Ogród jest zacieniony.
skučen|mały i ciasny|Prostor je skučen.|Przestrzeń jest mała i ciasna.
neuredan|nieporządny|Stol je neuredan.|Na stole jest nieporządek.
namješten|umeblowany|Stan je namješten.|Mieszkanie jest umeblowane.
nenamješten|nieumeblowany|Stan je nenamješten.|Mieszkanie jest nieumeblowane.
iznajmljen|wynajęty|Stan je već iznajmljen.|Mieszkanie jest już wynajęte.
ispravan|sprawny, poprawny|Uređaj je ispravan.|Urządzenie jest sprawne.
neispravan|niesprawny, niepoprawny|Uređaj je neispravan.|Urządzenie jest niesprawne.
napuknut|pęknięty|Tanjur je napuknut.|Talerz jest pęknięty.
razbijen|rozbity|Prozor je razbijen.|Okno jest rozbite.
očuvan|zachowany w dobrym stanie|Namještaj je očuvan.|Meble są w dobrym stanie.
istrošen|zużyty|Tepih je istrošen.|Dywan jest zużyty.
zahrđao|zardzewiały|Ključ je zahrđao.|Klucz jest zardzewiały.
čvrst|solidny, mocny|Stol je čvrst.|Stół jest solidny.
klimav|chwiejny|Stol je klimav.|Stół jest chwiejny.
savitljiv|giętki|Materijal je savitljiv.|Materiał jest giętki.
krut|sztywny|Materijal je krut.|Materiał jest sztywny.
proziran|przezroczysty|Papir je proziran.|Papier jest przezroczysty.
neproziran|nieprzezroczysty|Materijal je neproziran.|Materiał jest nieprzezroczysty.
vodootporan|wodoodporny|Sat je vodootporan.|Zegarek jest wodoodporny.
vatrootporan|ognioodporny|Materijal je vatrootporan.|Materiał jest ognioodporny.
zapaljiv|łatwopalny|Benzin je zapaljiv.|Benzyna jest łatwopalna.
periv|nadający się do prania|Tepih je periv.|Dywan nadaje się do prania.
prenosiv|przenośny|Zvučnik je prenosiv.|Głośnik jest przenośny.
sklopiv|składany|Stol je sklopiv.|Stół jest składany.
podesiv|regulowany|Naslon je podesiv.|Oparcie jest regulowane.
punjiv|nadający się do ładowania|Ovaj uređaj je punjiv.|To urządzenie można ładować.
bežičan|bezprzewodowy|Miš je bežičan.|Mysz jest bezprzewodowa.
gladak|gładki|Papir je gladak.|Papier jest gładki.
hrapav|szorstki|Zid je hrapav.|Ściana jest szorstka.
elastičan|elastyczny|Materijal je elastičan.|Materiał jest elastyczny.
# adjective|personality
pričljiv|rozmowny|Susjed je pričljiv.|Sąsiad jest rozmowny.
šutljiv|milczący, małomówny|Danas je šutljiv.|Dziś jest małomówny.
nepristojan|nieuprzejmy|Njegov odgovor je nepristojan.|Jego odpowiedź jest nieuprzejma.
uljudan|grzeczny, uprzejmy|Konobar je uljudan.|Kelner jest uprzejmy.
srdačan|serdeczny|Domaćin je srdačan.|Gospodarz jest serdeczny.
velikodušan|wielkoduszny, hojny|Susjed je velikodušan.|Sąsiad jest hojny.
škrt|skąpy|On nije škrt.|On nie jest skąpy.
sebičan|samolubny|Nemoj biti sebičan.|Nie bądź samolubny.
nesebičan|bezinteresowny|To je nesebičan čin.|To jest bezinteresowny czyn.
obziran|taktowny, liczący się z innymi|Budi obziran prema drugima.|Licz się z innymi.
bezobziran|bezwzględny, nieliczący się z innymi|Vozač je bezobziran.|Kierowca nie liczy się z innymi.
popustljiv|ustępliwy|Otac je popustljiv.|Ojciec jest ustępliwy.
uporan|wytrwały|Učenik je uporan.|Uczeń jest wytrwały.
marljiv|pracowity|Student je marljiv.|Student jest pracowity.
nepouzdan|niegodny zaufania, zawodny|Ovaj izvor je nepouzdan.|To źródło jest niewiarygodne.
neodgovoran|nieodpowiedzialny|To je neodgovoran postupak.|To nieodpowiedzialne postępowanie.
samostalan|samodzielny|Sin je samostalan.|Syn jest samodzielny.
ovisan|zależny, uzależniony|Ovisan je o pomoći drugih.|Jest zależny od pomocy innych.
neovisan|niezależny|Želi biti neovisan.|Chce być niezależny.
uobražen|zarozumiały|Nemoj biti uobražen.|Nie bądź zarozumiały.
ljubomoran|zazdrosny|Ljubomoran je na brata.|Jest zazdrosny o brata.
zavidan|zawistny|Nemoj biti zavidan.|Nie bądź zawistny.
osjetljiv|wrażliwy|Osjetljiv je na buku.|Jest wrażliwy na hałas.
neosjetljiv|niewrażliwy|Ne budi neosjetljiv.|Nie bądź niewrażliwy.
osjećajan|uczuciowy|On je osjećajan čovjek.|On jest uczuciowym człowiekiem.
suosjećajan|współczujący|Liječnik je suosjećajan.|Lekarz jest współczujący.
razdražljiv|drażliwy|Danas sam razdražljiv.|Dziś jestem drażliwy.
smiren|opanowany|Ostani smiren.|Zachowaj spokój.
zabrinut|zmartwiony|Zabrinut sam za tebe.|Martwię się o ciebie.
bezbrižan|beztroski|To je bio bezbrižan dan.|To był beztroski dzień.
oprezan|ostrożny|Budi oprezan na cesti.|Bądź ostrożny na drodze.
neoprezan|nieostrożny|Vozač je bio neoprezan.|Kierowca był nieostrożny.
rastresen|roztargniony|Danas sam rastresen.|Dziś jestem roztargniony.
zbunjen|zdezorientowany|Malo sam zbunjen.|Jestem trochę zdezorientowany.
plašljiv|bojaźliwy|Pas je plašljiv.|Pies jest bojaźliwy.
vedar|pogodny|Djed je uvijek vedar.|Dziadek jest zawsze pogodny.
mrgodan|ponury|Susjed je mrgodan.|Sąsiad jest ponury.
razigran|rozbrykany|Pas je razigran.|Pies jest rozbrykany.
zaigran|skory do zabawy|Mačić je zaigran.|Kotek jest skory do zabawy.
oduševljen|zachwycony|Oduševljen sam gradom.|Jestem zachwycony miastem.
# adjective|clothes
prugast|w paski|Šal je prugast.|Szalik jest w paski.
točkast|w kropki|Uzorak je točkast.|Wzór jest w kropki.
kariran|w kratkę|Kaput je kariran.|Płaszcz jest w kratkę.
jednobojan|jednokolorowy|Šal je jednobojan.|Szalik jest jednokolorowy.
šaren|kolorowy, pstrokaty|Tepih je šaren.|Dywan jest kolorowy.
blijed|blady|Danas si blijed.|Dziś jesteś blady.
jarkocrven|jaskrawoczerwony|Kaput je jarkocrven.|Płaszcz jest jaskrawoczerwony.
tirkizan|turkusowy|Prsten je tirkizan.|Pierścionek jest turkusowy.
bež|beżowy|Ovo je bež kaput.|To jest beżowy płaszcz.
bordo|bordowy|Ovo je bordo šal.|To jest bordowy szalik.
pamučan|bawełniany|Ručnik je pamučan.|Ręcznik jest bawełniany.
vunen|wełniany|Šal je vunen.|Szalik jest wełniany.
svilen|jedwabny|Šal je svilen.|Szalik jest jedwabny.
lanen|lniany|Stolnjak je lanen.|Obrus jest lniany.
kožnat|skórzany|Remen je kožnat.|Pasek jest skórzany.
umjetan|sztuczny|Ovaj cvijet je umjetan.|Ten kwiat jest sztuczny.
prirodan|naturalny|Materijal je prirodan.|Materiał jest naturalny.
prevelik|za duży|Kaput je prevelik.|Płaszcz jest za duży.
premalen|za mały|Kofer je premalen.|Walizka jest za mała.
izgužvan|pognieciony|Papir je izgužvan.|Papier jest pognieciony.
ispeglan|wyprasowany|Stolnjak je ispeglan.|Obrus jest wyprasowany.
poderan|podarty|Rukav je poderan.|Rękaw jest podarty.
# adverb|daily
upravo|właśnie|Upravo dolazim.|Właśnie przychodzę.
maloprije|przed chwilą|Bio je ovdje maloprije.|Był tu przed chwilą.
upravo sada|właśnie teraz|Upravo sada nemam vremena.|Właśnie teraz nie mam czasu.
zasad|na razie|Zasad je sve dobro.|Na razie wszystko jest dobrze.
dosad|dotychczas|Dosad nije bilo problema.|Dotychczas nie było problemów.
otad|od tamtej pory|Otad živim ovdje.|Od tamtej pory tutaj mieszkam.
odsad|odtąd|Odsad ću paziti.|Odtąd będę uważać.
naknadno|później, dodatkowo|Poslat ću podatke naknadno.|Wyślę dane później.
unaprijed|z góry, zawczasu|Hvala unaprijed.|Z góry dziękuję.
unatrag|do tyłu, wstecz|Idi korak unatrag.|Zrób krok do tyłu.
iznova|od nowa|Počnimo iznova.|Zacznijmy od nowa.
nanovo|na nowo|Sve moramo nanovo.|Wszystko musimy zrobić na nowo.
zauvijek|na zawsze|Ostat ću ovdje zauvijek.|Zostanę tu na zawsze.
povremeno|od czasu do czasu|Povremeno trčim.|Od czasu do czasu biegam.
tjedno|tygodniowo|Radim četrdeset sati tjedno.|Pracuję czterdzieści godzin tygodniowo.
mjesečno|miesięcznie|Plaćam mjesečno.|Płacę miesięcznie.
godišnje|rocznie|Putujem dvaput godišnje.|Podróżuję dwa razy w roku.
dvaput|dwa razy|Nazvao sam dvaput.|Zadzwoniłem dwa razy.
triput|trzy razy|Ponovi triput.|Powtórz trzy razy.
